City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Upernavik,82,GL,1573352383,74,72.79,-56.15,15.3,5.01
Ushuaia,8,AR,1573352312,65,-54.81,-68.31,41.0,6.93
San Patricio,100,PY,1573352383,96,-26.98,-56.83,70.25,4.36
Hithadhoo,1,MV,1573352378,74,-0.6,73.08,82.0,9.15
Luderitz,20,NA,1573352383,87,-26.65,15.16,60.8,11.41
Namibe,8,AO,1573352383,76,-15.19,12.15,76.3,9.44
Ribeira Grande,31,PT,1573352383,86,38.52,-28.7,61.93,4.21
Cockburn Town,2,TC,1573352384,77,21.46,-71.14,82.33,10.16
Nha Trang,90,VN,1573352384,100,12.24,109.19,73.4,12.75
Deputatskiy,99,RU,1573352384,99,69.3,139.9,-13.58,2.13
Primorsk,100,RU,1573352384,95,60.37,28.62,37.0,1.01
Broome,44,GB,1573352384,86,52.47,1.45,43.0,2.24
Yellowknife,90,CA,1573352207,70,62.45,-114.38,1.0,8.05
East London,100,ZA,1573352384,84,-33.02,27.91,65.77,15.7
Barrow,0,AR,1573352385,67,-38.31,-60.23,46.02,7.78
Skjervoy,0,NO,1573352385,51,70.03,20.97,28.15,7.96
Victoria,75,BN,1573352385,78,5.28,115.24,84.2,3.36
Rancho Palos Verdes,5,US,1573352385,28,33.75,-118.37,77.0,12.75
Fayetteville,1,US,1573352143,81,36.06,-94.16,51.8,3.36
Cherskiy,0,RU,1573352385,90,68.75,161.3,-0.48,2.59
Marawi,55,PH,1573352386,75,8.0,124.29,84.0,5.01
Kuytun,100,RU,1573352386,65,54.34,101.51,16.3,12.21
Santa,100,PH,1573352386,78,17.49,120.43,80.42,1.77
Pangnirtung,100,CA,1573352386,67,66.15,-65.72,20.57,5.03
Lagoa,100,PT,1573352386,76,37.14,-8.45,57.2,6.93
Sao Joao da Barra,100,BR,1573352386,89,-21.64,-41.05,75.33,11.56
Puerto Ayora,8,EC,1573352273,88,-0.74,-90.35,70.0,5.99
Avarua,0,CK,1573352284,73,-21.21,-159.78,77.0,10.29
Tiksi,72,RU,1573352387,99,71.64,128.87,-15.65,3.58
Eyl,11,SO,1573352387,76,7.98,49.82,78.87,16.67
Torbay,40,CA,1573352387,57,47.66,-52.73,34.0,26.4
Manokwari,100,ID,1573352387,69,-0.87,134.08,81.93,3.33
Xiangxiang,17,CN,1573352387,44,27.73,112.52,70.32,5.79
Pevek,0,RU,1573352387,72,69.7,170.27,5.23,1.66
Tsiroanomandidy,64,MG,1573352388,55,-18.77,46.05,74.66,2.91
Kavieng,100,PG,1573352388,91,-2.57,150.8,78.26,13.6
San Cristobal,81,HN,1573352388,98,14.68,-86.92,64.36,3.02
Nanortalik,100,GL,1573352388,78,60.14,-45.24,36.9,30.76
Okhotsk,34,RU,1573352388,71,59.36,143.24,12.29,19.17
Henties Bay,0,NA,1573352388,75,-22.12,14.28,58.75,4.09
Tazovskiy,87,RU,1573352389,97,67.47,78.7,-8.38,8.5
Bethel,75,US,1573352389,85,60.79,-161.76,28.4,11.41
Whitehorse,40,CA,1573352108,71,60.72,-135.06,8.6,4.7
Mao,75,DO,1573352389,83,19.55,-71.08,82.0,4.7
Inhambane,72,MZ,1573352389,74,-23.87,35.38,73.69,9.78
Perth,75,AU,1573352216,68,-31.95,115.86,73.4,12.75
Kayes,3,ML,1573352389,23,14.44,-11.44,81.75,4.9
Careiro da Varzea,75,BR,1573352389,94,-3.2,-59.81,77.0,2.24
New Norfolk,4,AU,1573352390,50,-42.78,147.06,64.0,18.34
Barentu,0,ER,1573352390,52,15.11,37.59,74.37,0.94
Kilindoni,98,TZ,1573352390,80,-7.91,39.67,81.77,15.61
Butaritari,73,KI,1573352390,62,3.07,172.79,84.78,0.31
Nieuwpoort,20,BE,1573352390,94,51.13,2.75,41.0,6.93
Palmer,20,AU,1573352390,55,-34.85,139.16,71.01,10.29
Tuktoyaktuk,20,CA,1573352390,71,69.44,-133.03,5.0,14.99
Sulangan,6,PH,1573352391,69,11.14,123.72,84.09,3.24
Kota Kinabalu,75,MY,1573352391,70,5.98,116.07,86.0,9.17
Kaitangata,99,NZ,1573352391,83,-46.28,169.85,51.01,8.01
Chokurdakh,70,RU,1573352391,95,70.62,147.9,-4.46,5.53
Leh,0,IN,1573352391,24,34.16,77.58,16.27,2.21
Port Macquarie,0,AU,1573352391,29,-31.43,152.91,81.0,10.29
Tautira,75,PF,1573352391,69,-17.73,-149.15,82.4,5.82
San Vicente,75,EC,1573352392,83,-0.59,-80.41,73.4,6.93
Aksarka,82,RU,1573352392,100,66.56,67.8,-5.57,1.81
Adrar,0,DZ,1573352392,34,27.87,-0.29,51.8,11.41
Xuchang,0,CN,1573352392,25,34.03,113.82,64.4,20.13
Laurel,1,US,1573352392,92,39.1,-76.85,37.4,6.33
Cranbrook,75,CA,1573352392,56,49.51,-115.76,44.6,2.24
Hanna,100,CA,1573352392,83,51.64,-111.93,14.0,7.0
Sisimiut,27,GL,1573352393,49,66.94,-53.67,24.89,15.75
Clyde River,90,CA,1573352393,85,70.47,-68.59,17.6,33.33
Zlobin,92,HR,1573352393,62,45.29,14.65,53.6,9.17
Pisco,31,PE,1573352393,77,-13.71,-76.2,64.4,12.75
Lebu,7,ET,1573352393,66,8.96,38.73,49.75,1.95
Matara,38,BI,1573352393,87,-3.48,29.48,58.41,5.41
Zhigansk,100,RU,1573352393,92,66.77,123.37,5.04,11.92
Priargunsk,100,RU,1573352394,73,50.37,119.09,32.31,5.19
Katobu,52,ID,1573352394,39,-4.94,122.53,94.48,3.89
Fairbanks,1,US,1573352225,91,64.84,-147.72,6.8,4.34
Gorontalo,98,ID,1573352361,85,0.54,123.06,78.17,2.95
Flinders,90,AU,1573352394,30,-34.58,150.85,77.0,10.29
Puerto Escondido,20,MX,1573352394,70,15.86,-97.07,84.2,3.27
Khatanga,100,RU,1573352394,96,71.98,102.47,-1.05,15.99
Severo-Kurilsk,88,RU,1573352395,88,50.68,156.12,31.19,24.63
Isangel,75,VU,1573352395,58,-19.55,169.27,84.2,9.17
Rocha,0,UY,1573352395,96,-34.48,-54.34,54.88,4.52
Malindi,31,KE,1573352315,93,-3.22,40.12,73.8,5.1
Bilibino,0,RU,1573352395,58,68.06,166.44,2.75,3.56
Divnomorskoye,0,RU,1573352396,59,44.5,38.13,62.01,4.72
Roald,0,NO,1573352396,74,62.58,6.12,30.2,11.41
Hinton,100,CA,1573352396,96,53.4,-117.57,6.35,3.24
Usogorsk,100,RU,1573352396,94,63.43,48.71,16.84,7.27
Pringsewu,10,ID,1573352396,55,-5.36,104.98,84.6,7.16
Nampula,75,MZ,1573352396,100,-15.12,39.26,71.6,4.7
Ponta do Sol,100,BR,1573352396,93,-20.63,-46.0,67.89,3.69
Grand-Santi,13,GF,1573352396,94,4.27,-54.38,72.95,1.66
Qaanaaq,0,GL,1573352397,42,77.48,-69.36,-5.08,5.82
San Quintin,100,PH,1573352397,78,17.54,120.52,80.42,1.77
Leningradskiy,0,RU,1573352397,59,69.38,178.42,18.52,5.19
Ostrovnoy,100,RU,1573352397,96,68.05,39.51,18.99,2.44
Mabaruma,35,GY,1573352397,99,8.2,-59.78,73.36,1.79
Palm Coast,1,US,1573352397,87,29.55,-81.22,69.01,5.82
Nador,63,MA,1573352398,59,35.17,-2.93,62.6,13.87
Ambilobe,21,MG,1573352398,78,-13.19,49.05,76.06,9.1
Antofagasta,90,CL,1573352398,77,-23.65,-70.4,60.8,1.12
Alyangula,30,AU,1573352398,30,-13.85,136.42,93.2,8.05
Beloha,83,MG,1573352398,80,-25.17,45.06,69.24,10.6
Oranjemund,100,ZA,1573352398,96,-28.55,16.43,57.22,3.4
Sombrerete,70,MX,1573352398,57,23.63,-103.64,58.51,6.31
Praia da Vitoria,20,PT,1573352399,93,38.73,-27.07,59.0,3.98
Warri,100,NG,1573352399,92,5.52,5.75,77.31,2.48
Dongli,10,CN,1573352399,49,24.18,117.61,69.8,8.95
Songjianghe,100,CN,1573352399,42,42.18,127.48,44.37,5.68
Curuguaty,100,PY,1573352399,95,-24.47,-55.69,73.33,1.79
Esperance,33,AU,1573352399,37,-33.86,121.89,98.6,20.8
Tokmak,1,UA,1573352399,87,47.26,35.7,49.77,8.12
Zhigalovo,100,RU,1573352400,74,54.81,105.15,12.47,10.96
Padang,58,ID,1573352400,73,-0.92,100.36,78.13,4.16
Kaifeng,0,CN,1573352400,25,34.8,114.35,64.4,20.13
Huanuco,100,PE,1573352400,97,-9.93,-76.24,49.03,3.53
Dhidhdhoo,2,MV,1573352400,65,6.88,73.1,81.97,3.62
Souillac,0,FR,1573352401,87,45.6,-0.6,42.8,6.93
Dingle,33,PH,1573352401,75,11.0,122.67,84.31,2.55
Thinadhoo,85,MV,1573352401,75,0.53,72.93,82.08,8.21
Balad,21,ID,1573352401,50,-6.76,108.42,84.67,7.36
Altay,100,CN,1573352401,91,47.83,88.13,23.56,1.25
Saint George,40,GR,1573352240,100,39.45,22.34,55.4,5.82
Teya,40,MX,1573352401,78,21.05,-89.07,81.0,6.93
Belmonte,100,PT,1573352401,81,40.36,-7.35,52.0,5.08
Hasaki,20,JP,1573352402,59,35.73,140.83,63.0,3.36
Grindavik,75,IS,1573352402,93,63.84,-22.43,39.2,13.87
Awjilah,71,LY,1573352402,29,29.14,21.3,71.69,12.15
Hambantota,75,LK,1573352402,100,6.12,81.12,75.2,6.11
Bagdarin,88,RU,1573352402,59,54.44,113.59,26.11,10.94
High Level,5,CA,1573352402,83,58.52,-117.13,-5.81,2.24
Airai,77,TL,1573352403,34,-8.93,125.41,84.94,8.63
Ahuimanu,40,US,1573352403,78,21.44,-157.84,84.99,5.82
Bathsheba,75,BB,1573352403,83,13.22,-59.52,80.6,20.8
Totness,1,US,1573352403,100,33.74,-80.8,39.99,2.08
Puro,41,PH,1573352403,70,13.13,123.76,85.41,8.37
Lavrentiya,100,RU,1573352403,96,65.58,-170.99,34.54,5.93
Angoram,100,PG,1573352403,84,-4.06,144.07,83.35,0.92
Sungairaya,15,ID,1573352404,57,0.7,108.9,89.65,3.78
Tevaitoa,100,PF,1573352404,79,-16.78,-151.5,79.95,18.3
Pearl Lagoon,100,NI,1573352404,81,12.34,-83.67,82.47,15.95
Katangli,0,RU,1573352404,61,51.71,143.23,27.3,11.14
Sabha,100,LY,1573352405,40,27.03,14.43,71.1,5.39
Cabo San Lucas,75,MX,1573352110,42,22.89,-109.91,84.0,6.93
Nhamunda,100,BR,1573352405,90,-2.19,-56.71,75.2,0.65
Kidal,80,ML,1573352405,27,18.44,1.41,75.4,11.45
Zhuhai,0,CN,1573352405,80,40.71,112.04,33.8,2.24
Narsaq,67,GL,1573352405,48,60.91,-46.05,41.0,42.5
Loralai,0,PK,1573352405,21,30.37,68.6,49.73,3.6
Saskylakh,100,RU,1573352405,98,71.97,114.09,-0.66,2.13
Sangar,100,RU,1573352406,81,63.92,127.47,-3.66,8.72
Kahului,1,US,1573352406,55,20.89,-156.47,86.0,9.17
Ilulissat,79,GL,1573352406,31,69.22,-51.1,35.6,21.92
Castro,100,CL,1573352406,93,-42.48,-73.76,51.8,4.7
Khani,0,GE,1573352406,50,41.96,42.96,57.2,10.29
Nouakchott,39,MR,1573352406,29,18.08,-15.98,75.2,9.17
Sitka,0,US,1573352406,34,37.17,-99.65,52.0,3.0
Valdivia,100,CL,1573352407,72,-39.81,-73.25,60.8,1.12
Talnakh,91,RU,1573352407,75,69.49,88.39,-18.41,12.57
Constitucion,40,MX,1573352407,46,23.99,-104.67,69.8,6.93
Namatanai,100,PG,1573352407,89,-3.66,152.44,77.72,21.88
Bontang,12,ID,1573352407,65,0.12,117.47,85.8,5.35
San Jeronimo,100,PE,1573352407,83,-13.65,-73.37,52.72,4.47
Cidreira,100,BR,1573352408,88,-30.17,-50.22,70.74,21.34
Naryan-Mar,0,RU,1573352408,95,67.67,53.09,1.11,8.39
Vizinga,100,RU,1573352408,96,61.08,50.08,24.46,5.99
Abha,0,SA,1573352408,81,18.22,42.5,53.6,0.98
Havoysund,0,NO,1573352409,85,71.0,24.66,15.8,10.29
Porto Novo,40,BR,1573352409,83,-23.68,-45.44,71.6,8.05
Drovyanaya,12,RU,1573352409,51,51.58,113.05,37.4,22.37
Saint-Augustin,90,CA,1573352409,59,45.63,-73.98,36.0,11.41
Mayo,5,CA,1573352409,76,63.59,-135.9,-5.81,8.05
Rabo de Peixe,20,PT,1573352409,87,37.8,-25.58,59.0,5.82
Bereda,40,ES,1573352409,71,43.27,-7.54,53.6,11.41
Buckeye,1,US,1573352143,33,33.37,-112.58,78.01,4.7
Ahipara,100,NZ,1573352410,100,-35.17,173.16,70.0,24.23
Luang Prabang,75,LA,1573352410,82,19.89,102.14,68.0,3.24
Yelizovo,40,RU,1573352410,69,53.19,158.38,39.2,8.95
Erdenet,78,MN,1573352410,34,49.03,104.04,29.95,16.71
Caravelas,0,BR,1573352410,95,-17.73,-39.27,69.35,6.08
Honiara,75,SB,1573352410,70,-9.43,159.96,87.8,10.29
Bauchi,100,NG,1573352410,45,10.31,9.85,75.47,1.86
Riyadh,12,SA,1573352411,59,24.63,46.72,64.4,4.72
Scarborough,1,GB,1573352411,70,54.28,-0.41,44.01,9.17
Kiunga,90,PG,1573352411,54,-6.12,141.3,89.22,3.24
Hamilton,75,CA,1573352411,69,43.26,-79.87,41.0,13.87
Anastacio,60,BR,1573352411,94,-20.48,-55.81,73.44,2.44
Maraba,62,BR,1573352411,78,-5.35,-49.1,80.6,4.7
Montague,75,CA,1573352411,63,46.17,-62.65,37.0,3.36
Geraldton,90,CA,1573352412,85,49.72,-86.95,15.8,4.7
Nong Chik,56,TH,1573352412,82,6.84,101.18,78.96,1.45
Haines Junction,0,CA,1573352412,96,60.75,-137.51,-2.48,6.08
Sturgis,16,CA,1573352412,91,51.94,-102.54,5.05,7.61
Lancaster,1,US,1573352320,55,40.04,-76.31,34.0,3.36
Sao Filipe,100,CV,1573352413,83,14.9,-24.5,74.08,12.08
San Pedro,0,AR,1573352413,84,-33.68,-59.66,64.99,4.0
Ayan,0,IR,1573352413,30,38.23,44.7,29.68,1.25
Katsuura,20,JP,1573352413,48,33.93,134.5,62.6,4.7
Samarai,99,PG,1573352413,69,-10.62,150.67,84.06,9.42
Plettenberg Bay,93,ZA,1573352413,83,-34.05,23.37,62.15,8.66
Muros,40,ES,1573352413,93,42.77,-9.06,52.0,1.12
Yerbogachen,100,RU,1573352413,91,61.28,108.01,-4.65,12.1
Omboue,100,GA,1573352414,98,-1.57,9.26,75.07,2.55
Foso,13,GH,1573352414,96,5.7,-1.29,73.89,2.15
Flagstaff,1,US,1573352122,48,35.2,-111.65,48.2,3.47
Oksfjord,0,NO,1573352414,84,70.24,22.35,15.8,8.05
Khandyga,6,RU,1573352414,89,62.65,135.58,-13.42,1.72
Mitu,0,IR,1573352414,40,36.2,46.09,37.2,8.41
Gotsu,75,JP,1573352415,51,35.01,132.22,62.6,6.93
Mbekenyera,63,TZ,1573352415,94,-10.0,38.98,70.03,3.0
Kalemie,91,CD,1573352415,86,-5.95,29.2,65.89,2.68
Ust-Ishim,18,RU,1573352415,87,57.69,71.17,12.7,2.64
Portland,75,US,1573351898,34,43.66,-70.25,37.99,4.7
Kudahuvadhoo,0,MV,1573352415,77,2.67,72.89,82.49,10.92
Gimbi,37,ET,1573352416,69,8.81,37.79,49.48,5.88
Amberley,100,NZ,1573352416,87,-43.15,172.73,57.99,11.41
De Aar,99,ZA,1573352416,55,-30.65,24.01,60.08,11.65
Ulladulla,90,AU,1573352416,30,-35.36,150.48,71.01,10.29
Lysyanka,73,UA,1573352416,90,49.25,30.83,52.12,10.63
Saint-Pierre,65,FR,1573352417,86,48.95,4.24,41.0,11.41
Nome,1,US,1573352417,87,30.04,-94.42,53.6,2.55
Klaksvik,94,FO,1573352417,64,62.23,-6.59,37.4,9.17
Kampot,20,KH,1573352417,51,10.62,104.18,84.2,1.12
Horta,20,BR,1573352417,74,-10.93,-37.66,80.6,13.87
Vanimo,100,PG,1573352417,70,-2.67,141.3,83.21,4.85
Evensk,100,RU,1573352418,87,61.92,159.24,23.09,18.3
Bonavista,0,CA,1573352418,72,48.65,-53.11,32.0,11.99
Marystown,63,CA,1573352418,2,47.17,-55.16,37.99,1.01
Swellendam,93,ZA,1573352418,82,-34.02,20.44,62.6,13.87
Cairns,0,AU,1573352418,28,-16.92,145.77,93.99,9.17
Cap Malheureux,75,MU,1573352418,93,-19.98,57.61,72.0,4.7
Anori,30,BR,1573352418,86,-3.74,-61.66,75.9,1.48
Gizo,23,IL,1573352418,77,31.8,34.94,66.99,3.36
Shreveport,1,US,1573352197,76,32.52,-93.77,50.0,4.18
Kargasok,100,RU,1573352419,88,59.06,80.87,9.19,7.29
Novoagansk,100,RU,1573352419,91,61.94,76.66,3.74,6.46
Buenos Aires,40,AR,1573352388,72,-34.61,-58.44,66.2,8.05
Dehloran,0,IR,1573352419,20,32.69,47.27,66.38,4.14
Bandarbeyla,0,SO,1573352419,72,9.49,50.81,79.34,15.12
Podor,0,MR,1573352419,17,16.65,-14.96,82.18,9.51
Bose,75,IT,1573352419,93,45.46,8.01,46.0,4.7
Yaan,100,NG,1573352420,86,7.38,8.57,76.53,4.12
Tual,100,ID,1573352420,67,-5.67,132.75,84.07,3.44
Jacareacanga,100,BR,1573352420,95,-6.22,-57.76,72.25,3.29
Naze,100,NG,1573352420,95,5.43,7.07,74.95,4.74
Paranapanema,100,BR,1573352420,96,-23.39,-48.72,67.41,4.43
Birin,94,NP,1573352420,75,26.89,88.07,61.0,1.1
Berlevag,100,NO,1573352420,85,70.86,29.09,17.6,4.7
Atambua,12,ID,1573352421,56,-9.11,124.89,86.4,6.69
Summerside,75,CA,1573352226,63,46.39,-63.79,37.0,3.36
Ornskoldsvik,90,SE,1573352421,85,63.29,18.72,23.0,11.41
Axim,63,GH,1573352421,91,4.87,-2.24,75.96,2.42
Meru,2,KE,1573352421,88,0.05,37.65,50.05,4.94
Dalianwan,75,CN,1573352421,87,39.03,121.69,64.99,6.71
Endicott,90,US,1573352421,72,42.1,-76.05,34.0,8.05
Wanning,40,AT,1573352422,100,48.64,13.53,35.01,3.36
Escalerillas,75,MX,1573352422,62,19.14,-100.12,64.0,10.29
Lorengau,100,PG,1573352422,84,-2.02,147.27,80.67,19.24
Vestmannaeyjar,33,IS,1573352422,74,63.44,-20.27,46.29,26.98
Akhmeta,0,GE,1573352422,75,42.03,45.21,42.8,3.36
Yarada,13,IN,1573352422,83,17.65,83.27,77.0,5.82
Rio Gallegos,0,AR,1573352422,72,-51.62,-69.22,41.0,21.92
Pochutla,20,MX,1573352423,70,15.74,-96.47,84.2,3.96
Wattegama,95,LK,1573352423,78,7.35,80.68,78.85,1.81
Malchin,75,DE,1573352423,93,53.74,12.76,41.0,4.7
Vila Velha,20,BR,1573352423,74,-3.71,-38.6,86.0,13.87
Dauphin,90,CA,1573352423,92,51.15,-100.04,14.0,11.41
Yamandu,72,SL,1573352423,98,7.94,-11.49,72.73,1.07
Nago,0,IT,1573352423,93,45.88,10.89,46.99,4.7
Pa Sang,40,TH,1573352424,83,18.53,98.94,80.01,2.24
La Ronge,40,CA,1573352424,60,55.1,-105.3,8.6,11.41
Wanlaweyn,87,SO,1573352424,80,2.62,44.89,77.72,2.26
Ancud,100,CL,1573352424,93,-41.87,-73.83,51.8,4.7
Lima,90,PE,1573352392,88,-12.06,-77.04,64.4,10.29
Westport,75,US,1573352424,56,41.14,-73.36,45.0,14.99
Iqaluit,40,CA,1573352425,77,63.75,-68.52,5.0,14.99
Sept-Iles,90,CA,1573352387,67,50.2,-66.38,21.99,4.7
Camacha,40,PT,1573352425,82,33.08,-16.33,66.2,12.75
Kodiak,1,US,1573352425,54,39.95,-94.76,55.99,11.41
Trabzon,20,TR,1573352425,76,41.01,39.72,53.6,4.7
Codrington,0,AU,1573352426,13,-28.95,153.24,84.2,10.29
Antalaha,96,MG,1573352426,72,-14.9,50.28,78.3,6.06
Kysyl-Syr,100,RU,1573352426,95,63.9,122.77,-1.2,7.38
Kinshasa,75,CD,1573352426,94,-4.32,15.31,77.0,4.7
Aykino,100,RU,1573352426,95,62.22,49.99,20.32,5.77
Gudari,39,IN,1573352426,79,19.34,83.79,74.35,2.57
Salalah,40,OM,1573352426,78,17.01,54.1,77.0,3.36
Sibu,75,MY,1573352427,78,2.29,111.83,82.4,5.82
Tura,100,RU,1573352427,94,64.27,100.22,-12.21,4.52
Bundaberg,0,AU,1573352347,8,-24.87,152.35,89.01,9.17
Koumac,24,NC,1573352427,42,-20.56,164.28,81.45,7.99
Kibala,100,TD,1573352427,39,9.11,18.35,73.67,1.68
Basco,1,US,1573352427,61,40.33,-91.2,48.99,6.93
Castellammare del Golfo,40,IT,1573352427,63,38.02,12.89,64.4,27.51
Meadow Lake,89,CA,1573352427,91,54.13,-108.44,5.92,5.73
Wadern,90,DE,1573352428,95,49.54,6.89,35.01,4.7
Ampanihy,9,MG,1573352428,87,-24.69,44.75,68.05,9.8
Puerto del Rosario,75,ES,1573352428,72,28.5,-13.86,68.0,25.28
Rafraf,40,TN,1573352428,66,37.19,10.18,55.4,13.87
Kununurra,65,AU,1573352428,34,-15.77,128.74,96.8,6.93
Kardzhin,90,RU,1573352428,93,43.27,44.28,44.6,0.27
Sovetskiy,95,RU,1573352428,75,56.76,48.47,26.49,10.04
Margate,0,AU,1573352429,67,-43.03,147.26,64.0,18.34
Awbari,100,LY,1573352429,35,26.59,12.77,70.3,8.99
Pontianak,2,ID,1573352429,53,-0.02,109.34,93.81,1.54
Jatiroto,27,ID,1573352429,49,-7.61,109.46,88.48,5.61
Coahuayana,8,MX,1573352429,75,18.62,-100.35,74.77,3.31
Beringovskiy,100,RU,1573352429,99,63.05,179.32,31.96,5.5
Vysokogornyy,0,RU,1573352429,58,50.1,139.13,19.26,4.09
Joensuu,90,FI,1573352430,100,62.6,29.76,35.01,3.36
Bud,62,NO,1573352430,79,62.91,6.91,30.2,8.05
Aksu,90,KZ,1573352430,79,52.04,76.93,21.2,20.13
Kilemary,80,RU,1573352430,75,56.78,46.86,26.55,7.9
Harper,1,US,1573352430,76,30.3,-99.24,57.99,5.82
Xichang,100,CN,1573352430,59,27.88,102.25,60.01,3.53
Saint Anthony,1,US,1573352431,59,43.97,-111.68,41.0,4.72
Qasigiannguit,79,GL,1573352431,31,68.82,-51.19,35.6,21.92
Bowen,0,AU,1573352431,30,-20.01,148.25,87.01,20.8
La Asuncion,93,AR,1573352431,93,-26.05,-65.39,59.67,2.48
Berdsk,0,RU,1573352431,84,54.76,83.11,1.4,6.71
Yuli,100,CN,1573352432,77,24.82,106.77,60.87,2.28
Eyemouth,51,GB,1573352432,56,55.87,-2.09,44.6,16.11
Coihaique,90,CL,1573352432,87,-45.58,-72.07,53.6,3.38
Guanica,1,PR,1573352432,100,17.97,-66.91,81.0,3.36
Yatou,75,CM,1573352432,94,3.63,9.81,73.4,8.05
Launceston,90,AU,1573352432,47,-41.43,147.14,64.0,13.87
Indiaroba,3,BR,1573352432,87,-11.53,-37.51,73.76,5.12
Dicabisagan,100,PH,1573352433,97,17.08,122.42,73.44,7.78
Beyneu,8,KZ,1573352433,92,45.32,55.19,41.72,10.42
Zhangye,0,CN,1573352433,14,38.94,100.46,47.21,4.56
